Format,Traqmate Trackvision,V2
Track,Portland International Raceway
Vehicle,CORRADO
Driver,DJ
Starting Date,2019/08/18
Starting Time,16:53:001
Sample Rate (samps/sec),10
Duration (secs),1952
Elapsed Time,Lat (Degrees),Lon (Degrees),Altitude (meters),Velocity (MPH),Lap
6.45,45.595432,-122.695091,6.0,25.603154000000004,1
6.475,45.595432,-122.695095,6.0,25.648358,1
6.5,45.595432,-122.695099,6.0,26.080101,1
6.525,45.595431,-122.695103,6.0,26.121375,1
6.55,45.595431,-122.695107,6.0,26.150856,1
6.575,45.595431,-122.69511,6.0,26.21375,1
6.6,45.595431,-122.695114,6.0,26.238318,1
6.625,45.595431,-122.695118,6.0,26.28254,1
6.65,45.59543,-122.695122,6.0,26.30809,1
6.675,45.59543,-122.695125,6.0,26.35526,1
6.7,45.59543,-122.695129,6.0,26.400465,1
6.725,45.59543,-122.695133,6.0,26.429946,1
6.75,45.59543,-122.695138,6.0,26.459427,1
6.775,45.595429,-122.695141,6.0,26.490874,1
6.8,45.595429,-122.695145,6.0,26.552785,1
6.825,45.595429,-122.695149,6.0,26.616661,1
6.85,45.595429,-122.695153,6.0,26.68152,1
6.875,45.595429,-122.695157,6.0,26.737534,1
6.9,45.595428,-122.69516,6.0,26.782739,1
6.925,45.595428,-122.695164,6.0,26.839736,1
6.95,45.595428,-122.695168,6.0,26.846615,1
6.975,45.595428,-122.695172,6.0,26.837896,1
7.0,45.595428,-122.695177,6.0,27.279644,1
7.025,45.595428,-122.695181,6.0,27.26608,1
7.05,45.595428,-122.695184,6.0,27.312268,1
7.075,45.595427,-122.695188,6.0,27.352559,1
7.1,45.595427,-122.695192,6.0,27.364351,1
7.125,45.595427,-122.695196,6.0,27.395798,1
7.15,45.595427,-122.6952,6.0,27.419382999999996,1
7.175,45.595427,-122.695204,6.0,27.40582,1
7.2,45.595427,-122.695208,6.0,27.410733,1
7.225,45.595427,-122.695212,6.0,27.449059000000002,1
7.25,45.595427,-122.695217,6.0,27.487385,1
7.275,45.595426,-122.695221,6.0,27.508022,1
7.3,45.595426,-122.695225,6.0,27.540451,1
7.325,45.595426,-122.695229,6.0,27.552244,1
7.35,45.595426,-122.695233,6.0,27.554209,1
7.375,45.595426,-122.695237,6.0,27.55814,1
7.4,45.595426,-122.695241,6.0,27.580742,1
7.425,45.595426,-122.695245,6.0,27.577835999999998,1
7.45,45.595426,-122.695249,6.0,27.601421,1
7.475,45.595426,-122.695252,6.0,27.628937,1
7.5,45.595426,-122.695258,6.0,28.520684,1
7.525,45.595426,-122.695262,6.0,28.533459,1
7.55,45.595426,-122.695266,6.0,28.549183,1
7.575,45.595426,-122.69527,6.0,28.566872,1
7.6,45.595426,-122.695274,6.0,28.571785,1
7.625,45.595426,-122.695278,6.0,28.583578,1
7.65,45.595425,-122.695282,6.0,28.607163,1
7.675,45.595425,-122.695287,6.0,28.6278,1
7.7,45.595425,-122.695291,6.0,28.662194,1
7.725,45.595425,-122.695295,6.0,28.691676,1
7.75,45.595425,-122.695299,6.0,28.721157,1
7.775,45.595425,-122.695303,6.0,28.752604,1
7.8,45.595426,-122.695308,6.0,28.772258,1
7.825,45.595426,-122.695312,6.0,28.798791,1
7.85,45.595426,-122.695316,6.0,28.830238,1
7.875,45.595426,-122.69532,6.0,28.847927,1
7.9,45.595426,-122.695324,6.0,28.866598,1
7.925,45.595426,-122.695328,6.0,28.895097,1
7.95,45.595426,-122.695332,6.0,28.928509,1
7.975,45.595426,-122.695337,6.0,28.956025,1
8.0,45.595426,-122.695341,6.0,29.333932,1
8.025,45.595426,-122.695346,6.0,29.361448,1
8.05,45.595426,-122.69535,6.0,29.396826,1
8.075,45.595427,-122.695354,6.0,29.431221,1
8.1,45.595427,-122.695358,6.0,29.473477,1
8.125,45.595427,-122.695362,6.0,29.523595,1
8.15,45.595427,-122.695367,6.0,29.576662,1
8.175,45.595427,-122.695371,6.0,29.628745,1
8.2,45.595428,-122.695375,6.0,29.67395,1
8.225,45.595428,-122.695379,6.0,29.716207,1
8.25,45.595428,-122.695384,6.0,29.758463,1
8.275,45.595428,-122.695388,6.0,29.807599,1
8.3,45.595429,-122.695393,6.0,29.863613,1
8.325,45.595429,-122.695397,6.0,29.927489,1
8.35,45.595429,-122.695401,6.0,29.994314,1
8.375,45.59543,-122.695406,6.0,30.061138,1
8.4,45.59543,-122.69541,6.0,30.115187000000002,1
